id,name,brand,categories,available,stock,regular_price,sales_price,discount,tier_prices,measure,product_url,image_url
20695,SABONETE PALMOLIVE NATURALS NUTRIÇÃO CREMOSA LEITE E PÉTALAS DE ROSA 150G,Palmolive,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,11.0,5.99,3.85,36.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonpalmpetde-rosas-150gr-20695,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_em_barra_palmolive_naturals_nutri_o_cremosa_leite_e_p_talas_de_rosa_150g_9a36cfd7-629d-4422-abea-e8f65b4ed10a.jpg
21657,SABONETE PALMOLIVE NATURALS SENSAÇÃO PURIFICANTE 6 UNIDADES DE 85G PROMO,Palmolive,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,8.0,16.99,12.2,29.0,[],un,https://www.goodbom.com.br/hortolandia/produto/m/sabonpack-bpalmolive-argila-plvpg--21657,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_em_barra_palmolive_naturals_sensa_o_purificante_6_unidades_de_85g_promo_d34a17d2-bfac-4ceb-9ff7-bd45b91563c5.jpg
8733,SABONETE PALMOLIVE NATURALS TOQUE NUTRITIVO FRAMBOESA E AMORA 85G 6 UNID,Palmolive,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,10.0,16.99,12.2,29.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonpalmnatsegredo-sedturmalina-85g-com-6-unid-8733,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_em_barra_palmolive_naturals_toque_nutritivo_framboesa_e_amora_85g_6_unid_415a2675-2c52-496e-a093-b8bef8538c8f.jpg
13432,SABONETE PALMOLIVE NUTRI-MILK HIDRATAÇÃO PROLONGADA 85G,Palmolive,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,39.0,4.99,4.99,0.0,[],,https://www.goodbom.com.br/hortolandia/produto/m/sabonpalmnutri-milk-85g-13432,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_em_barra_palmolive_nutri_milk_hidrata_o_prolongada_85g_3ff2fed6-528a-4ea4-9dc3-4c2be683e986.jpg
28269,SABONETE PALMOLIVE NUTRIÇÃO INTENSIVA KARITÉ E VITAMINA E 85G C/3,Palmolive,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,1.0,10.99,6.19,44.0,[],un,https://www.goodbom.com.br/hortolandia/produto/m/sabpalmolive-nutintkarvite-85g-c3-28269,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_palmolive_nutri_o_intensiva_karit_e_vitamina_e_85g_c_3_f0a46dee-ac5a-490c-a050-326d132b3053.jpeg
28272,SABONETE PALMOLIVE TOQUE NUTRITIVO FRAMBOESA E AMORA 85G C/3,Palmolive,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,14.0,10.99,6.19,44.0,[],un,https://www.goodbom.com.br/hortolandia/produto/m/sabpalmolive-tnutframbamora-85g-c3-28272,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_palmolive_toque_nutritivo_framboesa_e_amora_85g_c_3_a8f3f2ff-e509-45fe-9a97-188e47543aa2.jpeg
2501,SABONETE PHEBO AMAZONIAN 90G,Phebo,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,272.0,6.99,5.99,14.0,"[{""minimum_quantity"": 1, ""price"": 5.99}]",un,https://www.goodbom.com.br/hortolandia/produto/m/sabonphebo-amazonian-90g-2501,https://phygital-files.mercafacil.com/catalogo/uploads/produto/sabonete_phebo_amazonian_90g_868c550f-5003-4455-aaa3-e58060526346.jpg
26189,SABONETE PHEBO COCO DA BAHIA.100G,,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,4.0,7.99,7.99,0.0,[],un,https://www.goodbom.com.br/hortolandia/produto/m/sabonphebo-origens-coco-da-bahia100g-26189,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_phebo_coco_da_bahia_100g_9aaed780-9287-45d1-8bba-7e9c833c5f70.jpeg
5963,SABONETE PHEBO FRESCOR MANHA 90G,Phebo,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,240.0,6.99,5.99,14.0,"[{""minimum_quantity"": 1, ""price"": 5.99}]",,https://www.goodbom.com.br/hortolandia/produto/m/sabonphebo-frescor-manha-90g-5963,https://phygital-files.mercafacil.com/catalogo/uploads/produto/sabonete_em_barra_phebo_glicerinado_frescor_da_manh_90_g_b2ea0518-c753-4fcd-b4e4-7793c0f80c12.jpg
14674,SABONETE PHEBO GERÂNIO BOURBON 100G,Phebo,MERCEARIA | BANHO | FRIOS E LATICÍNIOS,True,57.0,7.99,7.99,0.0,[],un,https://www.goodbom.com.br/hortolandia/produto/m/sabonphebo-mediterraneo-geranio-bourbon-100g-14674,https://phygital-files.mercafacil.com/good-bom/uploads/produto/sabonete_phebo_ger_nio_bourbon_100g_8c23a7b1-6240-4085-a5f8-81670ec5d8da.jpeg
